date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2019-11-13,,,,,,,798.0
2019-11-14,,,,,241.0,,
2019-11-15,162.0,,,,,,
2019-11-16,,,241.0,,,,
2019-11-17,,,,212.0,,,
2019-11-18,,166.0,,,,,
2019-11-19,,,,,,263.0,
2019-11-20,,,,,,,83.0
2019-11-21,,,,,413.0,,
2019-11-22,392.0,,,,,,
2019-11-23,,,208.0,,,,
2019-11-24,,,,198.0,,,
2019-11-25,,487.0,,,,,
2019-11-26,,,,,,312.0,
2019-11-27,,,,,,,167.0
2019-11-28,,,,,240.0,,
2019-11-29,67.0,,,,,,
2019-11-30,,,162.0,,,,
2019-12-01,,,,128.0,,,
2019-12-02,,336.0,,,,,
2019-12-03,,,,,,187.0,
2019-12-04,,,,,,,206.0
2019-12-05,,,,,179.0,,
2019-12-06,405.0,,,,,,
2019-12-07,,,152.0,,,,
2019-12-08,,,,68.0,,,
2019-12-09,,213.0,,,,,
2019-12-10,,,,,,208.0,
2019-12-11,,,,,,,128.0
2019-12-12,,,,,234.0,,
2019-12-13,340.0,,,,,,
2019-12-14,,,201.0,,,,
2019-12-15,,,,242.0,,,
2019-12-16,,217.0,,,,,
2019-12-17,,,,,,413.0,
2019-12-18,,,,,,,233.0
2019-12-19,,,,,226.0,,
2019-12-20,279.0,,,,,,
2019-12-21,,,73.0,,,,
2019-12-22,,,,190.0,,,
2019-12-23,,131.0,,,,,
2019-12-24,,,,,,55.0,
2019-12-25,,,,,,,48.0
2019-12-26,,,,,132.0,,
2019-12-27,145.0,,,,,,
2019-12-28,,,242.0,,,,
2019-12-29,,,,222.0,,,
2019-12-30,,354.0,,,,,
2019-12-31,,,,,,202.0,
2020-01-01,,,,,,,407.0
2020-01-02,,,,,251.0,,
2020-01-03,196.0,,,,,,
2020-01-04,,,167.0,,,,
2020-01-05,,,,173.0,,,
2020-01-06,,230.0,,,,,
2020-01-07,,,,,,286.0,
2020-01-08,,,,,,,407.0
2020-01-09,,,,,321.0,,
2020-01-10,584.0,,,,,,
2020-01-11,,,239.0,,,,
2020-01-12,,,,78.0,,,
2020-01-13,,860.0,,,,,
2020-01-14,,,,,,248.0,
2020-01-15,,,,,,,387.0
2020-01-16,,,,,310.0,,
2020-01-17,609.0,,,,,,
2020-01-18,,,153.0,,,,
2020-01-19,,,,130.0,,,
2020-01-20,,134.0,,,,,
2020-01-21,,,,,,268.0,
2020-01-22,,,,,,,371.0
2020-01-23,,,,,60.0,,
2020-01-24,150.0,,,,,,
2020-01-25,,,247.0,,,,
2020-01-26,,,,53.0,,,
2020-01-27,,287.0,,,,,
2020-01-28,,,,,,237.0,
2020-01-29,,,,,,,224.0
2020-01-30,,,,,258.0,,
2020-01-31,649.0,,,,,,
2020-02-01,,,142.0,,,,
2020-02-02,,,,44.0,,,
2020-02-03,,293.0,,,,,
2020-02-04,,,,,,124.0,
2020-02-05,,,,,,,243.0
2020-02-06,,,,,178.0,,
2020-02-07,161.0,,,,,,
2020-02-08,,,224.0,,,,
2020-02-09,,,,51.0,,,
2020-02-10,,435.0,,,,,
2020-02-11,,,,,,313.0,
2020-02-12,,,,,,,306.0
2020-02-13,,,,,201.0,,
2020-02-14,256.0,,,,,,
2020-02-15,,,169.0,,,,
2020-02-16,,,,71.0,,,
2020-02-17,,112.0,,,,,
2020-02-18,,,,,,129.0,
2020-02-19,,,,,,,437.0
2020-02-20,,,,,235.0,,
2020-02-21,389.0,,,,,,
2020-02-22,,,76.0,,,,
2020-02-23,,,,94.0,,,
2020-02-24,,328.0,,,,,
2020-02-25,,,,,,120.0,
2020-02-26,,,,,,,227.0
2020-02-27,,,,,129.0,,
2020-02-28,203.0,,,,,,
2020-02-29,,,117.0,,,,
2020-03-01,,,,524.0,,,
2020-03-02,,185.0,,,,,
2020-03-03,,,,,,170.0,
2020-03-04,,,,,,,243.0
